0001,Objeto con asas pequeñas. Recompuesto desde varias piezas. Pequeños trozos faltantes
0002,Objeto extendido con pequelas asas. Coloración uniforme. Muestras de exposición al fuego.
0003,Bordes no uniformes. Partes faltantes en la base. No patrones.  Muestras de exposición al fuego.
0004,Objeto con bordes dañados y piezas reconstituidas. Muestras de exposición al fuego.
0005,Objeto de color uniforme. Filo en buen estado. Presenta poco daño y algunas piezas reconstituidas.
0006,Objeto con asas pequeñas. Presencia de exposición al fuego y deterioro de la superficie. 
0007,Objeto extendido con señales de mucho uso. Coloración no uniforme y pequeñas asas 
0008,Objeto con daño superficial en un lado del borde. Utensilio de cocina expuesto a fuego. Señales de deterioro por moho. 
0009,Objeto extendido con asas pequeñas y algo de daño en los bordes. Pocas partes reconstituidas.
0010,Objeto reconstituido desde fragmentos. Se utilizó pegamento sintético para reconstituir el objeto. Partes faltantes. Posee asas pequeñas. 
